year_month,Baby Care,Fragrance,Hair Care,Makeup,Skin Care,Wellness
2024-01,1253.48,1214.29,3868.58,1699.5900000000001,3369.21,0.0
2024-02,3208.73,2676.8,7879.88,8451.16,10504.14,2428.46
2024-03,8609.48,14166.3,18474.75,10883.41,21802.03,13475.11
2024-04,11088.279999999999,9523.96,20120.09,17730.16,27057.59,6523.78
2024-05,8801.94,13311.42,26234.41,21765.17,43214.52,15581.92
2024-06,9910.93,15875.67,35906.47,18826.89,49379.55,11301.53
2024-07,11488.119999999999,46949.799999999996,30921.54,31178.26,47738.42,15596.14
2024-08,20358.65,23183.97,35941.06,34923.15,51983.99,25144.06
2024-09,19736.98,31781.64,49191.73,32578.77,75173.72,17347.45
2024-10,25751.41,47850.12,49568.1,52081.34,85423.69,20774.28
2024-11,30097.4,63776.13,63512.2,53067.05,74379.16,22833.61
2024-12,24801.66,60634.14,66005.25,62080.07,106240.36,26085.69
2025-01,29846.41,45824.55,57277.11,67491.68,121155.36,38787.15
2025-02,35879.03,56775.62,59602.72,78543.62,113463.86,37572.72
2025-03,50397.1,52028.34,77623.5,87543.07,164149.92,39634.76
2025-04,40622.84,70388.09999999999,75470.6,82119.25,135051.97,46328.49
2025-05,51753.96,52604.54,102034.89,87304.54000000001,129958.99,40447.61
2025-06,36509.659999999996,50777.56,67455.44,76539.63,121796.24,44378.93
2025-07,52129.67,65890.6,87290.33,86163.64,160973.63,44655.28
2025-08,53059.2,71327.12,83974.09,95105.77,152453.44,55631.1
2025-09,54671.66,73797.24,104105.25,96047.08,173151.35,51308.75
2025-10,79831.36,193597.53,93742.07,120606.32,112431.85,112478.09
2025-11,69262.61,141283.04,84406.41,115698.27,108772.41,94396.42
